研报名称,机构名称,发布时间,行业,研报地址
2024年1月中国房地产销售数据点评：百强房企销售操盘金额规模进入底部区域，市场静待花开,民生证券,2024-02-02,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202402011620035917_1.pdf?1706865053000.pdf
房地产行业跟踪报告：持仓比重持续下降，关注政策变化情况,万联证券,2024-02-02,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202402021620058114_1.pdf?1706865680000.pdf
房地产：上海优化区域限购政策点评-因区施策，渐进宽松,天风证券,2024-02-01,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202402011619992033_1.pdf?1706775735000.pdf
中国房地产企业资讯监测报告,中国指数研究院,2024-02-01,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202402011619992045_1.pdf?1706781047000.pdf
房地产行业早八点：1月楼市成交量整体同环比均下跌，土地市场总体供求同比下滑，成交量跌价涨（2024年1月）,中国指数研究院,2024-02-01,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202402011619992043_1.pdf?1706779749000.pdf
房地产行业点评：限购政策集中放松，楼市销售改善可期,华福证券,2024-01-31,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401311619773632_1.pdf?1706691855000.pdf
房地产行业研究：上海优化外环外限购，供需支持进一步加码,国金证券,2024-01-31,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401311619773545_1.pdf?1706693328000.pdf
上海限购降门槛，需求侧政策再放松,中国银河,2024-01-31,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401311619781552_1.pdf?1706701816000.pdf
房地产行业：广州再次迈出第一步,国泰君安证券(香港),2024-01-31,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401311619792951_1.pdf?1706720248000.pdf
房地产行业点评报告：融资支持着眼于项目层面，各地项目白名单待落地,开源证券,2024-01-31,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401311619792955_1.pdf?1706721790000.pdf
房地产行业2024年2月投资策略：基本面未显好转，政策密集出台,国信证券,2024-01-30,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401301619509270_1.pdf?1706620220000.pdf
房地产行业周报：30大中城市成交环比下降，政策优化稳中有进,德邦证券,2024-01-30,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401301619510357_1.pdf?1706636565000.pdf
房地产行业点评报告：上海跟进楼市政策，放松外环外限购,东吴证券,2024-01-30,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401301619531337_1.pdf?1706650304000.pdf
房地产：日本房地产市场：调整后走向成熟,国联证券,2024-01-30,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401301619531845_1.pdf?1706652353000.pdf
房地产行业周观点：经营性物业贷款条件放松，广州进一步优化限购政策,万联证券,2024-01-30,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401301619498988_1.pdf?1706612903000.pdf
房地产：广州大面积段限购解除点评-刚改需求的分界点，因城施策的新突破,天风证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619253789_1.pdf?1706518837000.pdf
关于广州限购政策及相关部门对房地产政策优化的点评：广州限购优化带来增量购买力；近期各部门对房地产供需两端均作出积极表态和政策支持，有助提升市场信心,中银证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619253828_1.pdf?1706536065000.pdf
房地产行业周报：稳增长政策密集出台，中短期市场改善值得期待,开源证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619254440_1.pdf?1706519391000.pdf
房地产行业研究周报：支持房企合理融资，广州放开120平以上商品房限购,中泰证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619258564_1.pdf?1706542874000.pdf
房地产行业第4周周报：新房成交环比由负转正；本周各部门对房地产供需两端都做出了积极表态，广州放开120平以上限购,中银证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619284960_1.pdf?1706561812000.pdf
房地产行业跟踪周报：中央密集发声支持房地产，广州放松限购政策,东吴证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619353248_1.pdf?1706603121000.pdf
房地产行业：2023年12月上海住宅买卖市场,城市测量师行,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619251593_1.pdf?1706538783000.pdf
房地产：广州取消120平以上住房限购，一线调控再迎松绑,平安证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619251727_1.pdf?1706540754000.pdf
房地产行业点评报告：广州购房限制再松绑，政策信号显稳预期锚点,开源证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619252445_1.pdf?1706523738000.pdf
地产行业周报：政策支持力度持续加大，广州取消120平以上限购,平安证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619252454_1.pdf?1706527252000.pdf
房地产行业周报：房企融资连获政策支持，广州限购政策调整,西南证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619252579_1.pdf?1706513949000.pdf
房地产行业研究周报：融资支持“责无旁贷”，需求调控“因地制宜”,天风证券,2024-01-29,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401291619252583_1.pdf?1706513949000.pdf
房地产行业研究：广州取消120平以上限购，促进改善需求释放,国金证券,2024-01-28,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401281619241620_1.pdf?1706446219000.pdf
房地产行业研究：供需政策进一步放松，底部配置地产正当时,国金证券,2024-01-28,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202401281619243985_1.pdf?1706458045000.pdf
