研报名称,机构名称,发布时间,行业,研报地址
AIDC电力设备_电网产业链双周度跟踪（9月第1期）,国信证券,2025-09-08,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202509081740348007_1.pdf?1757347218000.pdf
使用可再生能源进行电气化：马利,国际可再生能源署,2025-09-01,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202508311737202732_1.pdf?1756719645000.pdf
电力设备及新能源：AIDC系列（六）-数据中心供电需求高增，SOFC有望快速发展,民生证券,2025-08-18,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202508181729697694_1.pdf?1755515702000.pdf
AIDC电力设备_电网产业链周度跟踪（7月第4周）,国信证券,2025-07-27,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202507271716487976_1.pdf?1753622047000.pdf
2024年中国电力设备出海白皮书：新周期开启，出海正当时,头豹研究院,2025-07-09,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202507091705865746_1.pdf?1752090052000.pdf
新型电力系统报告之四：电网发展回顾及后续展望：特高压稳步推进隐忧仍在 配网低于预期改革初见端倪,华源证券,2025-07-08,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202507081705136516_1.pdf?1751986127000.pdf
储能市场维系高景气度，关注储能板块投资机会,华安证券,2025-07-07,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202507071704635171_1.pdf?1751913034000.pdf
AIDC电力设备_电网产业链周度跟踪（6月第4周）,国信证券,2025-06-29,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202506291699698774_1.pdf?1751203224000.pdf
AIDC电力设备专题之二：高压直流技术（HVDC）为国产设备带来广阔市场机遇,国信证券,2025-06-26,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202506261698013762_1.pdf?1750959403000.pdf
电网设备专题研究：全球电网需求共振，把握特高压和出海两条主线,源达信息,2025-06-18,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202506181693236485_1.pdf?1750267934000.pdf
电气设备行业月报：内需驱动持续，行业发展动能充足,中原证券,2025-06-01,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202506011682941763_1.pdf?1748860357000.pdf
电力设备行业点评报告：25Q1工控行业销售额同比转正，多产业投资热情边际上升,东吴证券,2025-05-30,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505301681667595_1.pdf?1748599412000.pdf
电力设备行业专题报告：技术、政策、资本多维共振，聚变设备需求或已步入扩张前夜,华源证券,2025-05-24,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505241678214855_1.pdf?1748183780000.pdf
电力设备出海：全球能源转型下的中国机遇与挑战 头豹词条报告系列,头豹研究院,2025-05-19,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505191675534082_1.pdf?1747685039000.pdf
工控&电网24年报及25一季报总结：主业均稳健增长，期待人形&AI智能化兑现新增长曲线,东吴证券,2025-05-06,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505061668222918_1.pdf?1746531757000.pdf
电力设备与新能源行业研究：电力设备（电网）板块业绩总结：网内和网外并举，出海进入收获期,国金证券,2025-05-05,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505041667316233_1.pdf?1746459034000.pdf
电力设备及新能源：国常会核准10台机组，核电发展高景气,华金证券,2025-04-30,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504301665235251_1.pdf?1746058907000.pdf
市场洞察：从田间地头到城市街头，中国三轮车出海如何征服全球市场？,头豹研究院,2025-04-29,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504291664558549_1.pdf?1745956136000.pdf
电气设备行业月报：关税扰动与需求提振交织，电气设备板块机遇挑战并存,中原证券,2025-04-25,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504251662300739_1.pdf?1745610166000.pdf
电网设备行业景气度有望持续提升,第一创业,2025-04-17,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504171657751049_1.pdf?1744881772000.pdf
电气设备行业月报：机器人技术迭代叠加电网建设周期加速，电气设备板块估值有望持续修复,中原证券,2025-03-31,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503311649514819_1.pdf?1743424776000.pdf
电力设备及新能源周报：比亚迪发布超级e平台，电网投资建设加速,民生证券,2025-03-23,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503231646414854_1.pdf?1742744671000.pdf
人工智能设备专题：英伟达GTC大会在即，关注电源、液冷、CPO及PCB板块,国信证券,2025-03-13,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503131644326609_1.pdf?1741862410000.pdf
