研报名称,机构名称,发布时间,行业,研报地址
电力设备行业专题报告：技术、政策、资本多维共振，聚变设备需求或已步入扩张前夜,华源证券,2025-05-24,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505241678214855_1.pdf?1748183780000.pdf
电力设备出海：全球能源转型下的中国机遇与挑战 头豹词条报告系列,头豹研究院,2025-05-19,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505191675534082_1.pdf?1747685039000.pdf
工控&电网24年报及25一季报总结：主业均稳健增长，期待人形&AI智能化兑现新增长曲线,东吴证券,2025-05-06,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505061668222918_1.pdf?1746531757000.pdf
电力设备与新能源行业研究：电力设备（电网）板块业绩总结：网内和网外并举，出海进入收获期,国金证券,2025-05-05,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202505041667316233_1.pdf?1746459034000.pdf
电力设备及新能源：国常会核准10台机组，核电发展高景气,华金证券,2025-04-30,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504301665235251_1.pdf?1746058907000.pdf
市场洞察：从田间地头到城市街头，中国三轮车出海如何征服全球市场？,头豹研究院,2025-04-29,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504291664558549_1.pdf?1745956136000.pdf
电气设备行业月报：关税扰动与需求提振交织，电气设备板块机遇挑战并存,中原证券,2025-04-25,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504251662300739_1.pdf?1745610166000.pdf
电网设备行业景气度有望持续提升,第一创业,2025-04-17,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202504171657751049_1.pdf?1744881772000.pdf
电气设备行业月报：机器人技术迭代叠加电网建设周期加速，电气设备板块估值有望持续修复,中原证券,2025-03-31,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503311649514819_1.pdf?1743424776000.pdf
电力设备及新能源周报：比亚迪发布超级e平台，电网投资建设加速,民生证券,2025-03-23,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503231646414854_1.pdf?1742744671000.pdf
人工智能设备专题：英伟达GTC大会在即，关注电源、液冷、CPO及PCB板块,国信证券,2025-03-13,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503131644326609_1.pdf?1741862410000.pdf
新型电力系统中人工智能应用与扩展,上海交大,2025-03-04,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202503031644010124_1.pdf?1741083243000.pdf
电气设备行业月报：电气设备双轮驱动：机器人概念快速升温与电网建设稳健发力,中原证券,2025-02-28,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202502281643603957_1.pdf?1740755748000.pdf
数据中心电力设备专题：人工智能推动算力需求爆发，电力设备迎来成长新赛道,国信证券,2025-02-18,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202502181643205957_1.pdf?1739900659000.pdf
电气设备：新能源全面入市新政落地，关注功率预测、智能微网等新业态推进,华金证券,2025-02-10,电网设备,https://pdf.dfcfw.com/pdf/H3_AP202502101642945813_1.pdf?1739217440000.pdf
