研报名称,机构名称,发布时间,行业,研报地址
互联网行业人工智能周报（26年第6周）：Anthropic发布Claude Opus 4.6,国信证券,2026-02-13,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602131819915664_1.pdf?1770978851000.pdf
传媒行业点评报告：Seedance2.0推动AIGC进入卡尔达肖夫指数,华鑫证券,2026-02-11,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602111819867773_1.pdf?1770797174000.pdf
传媒互联网行业周报：可灵AI3.0发布，春节档有望持续催化AI应用及游戏IP潮玩,国信证券,2026-02-10,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602101819856004_1.pdf?1770742049000.pdf
传媒互联网行业周报：美团拟收购叮咚，完美世界《异环》测试开启,华源证券,2026-02-09,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602081819826047_1.pdf?1770621678000.pdf
传媒行业周报：《异环》三测及字节AI视频模型惊艳，继续布局游戏_多模态AI应用,开源证券,2026-02-09,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602091819827539_1.pdf?1770624470000.pdf
传媒互联网：春节传媒行业曝光度提升，海外Anthropic Cowork和插件发布,太平洋,2026-02-09,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602091819827634_1.pdf?1770626482000.pdf
传媒行业跟踪报告：2025Q4传媒行业重仓配置回落至低配，游戏板块备受青睐,万联证券,2026-02-09,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602091819830755_1.pdf?1770644134000.pdf
传媒行业周报：从春节档到AI春晚迎2026年新篇章关注AIGC,华鑫证券,2026-02-08,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602081819824990_1.pdf?1770570478000.pdf
全球移动游戏市场数据报告,归因(上海)科技,2026-02-06,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602061819815161_1.pdf?1770412511000.pdf
传媒行业周报：恺英网络深化“非遗+游戏”融合实践，中国电影与营销服务加速出海,华龙证券,2026-02-03,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602031819523125_1.pdf?1770107409000.pdf
传媒互联网行业周报：“元宝”红包火热出圈、泡泡玛特推出新爆款，持续看好AI应用和游戏IP潮玩,国信证券,2026-02-03,游戏,https://pdf.dfcfw.com/pdf/H3_AP202602031819640280_1.pdf?1770143325000.pdf
传媒互联网行业周报：元宝春节豪分10亿元现金，持续看好AI应用机会,国信证券,2026-01-28,游戏,https://pdf.dfcfw.com/pdf/H3_AP202601281818488443_1.pdf?1769590150000.pdf
传媒行业快评报告：1月游戏版号过审182款，腾讯《彩虹六号，攻势》强化FPS细分赛道,万联证券,2026-01-28,游戏,https://pdf.dfcfw.com/pdf/H3_AP202601281818487318_1.pdf?1769587693000.pdf
传媒行业周报：Qwen3-TTS全系列模型开源上线，提供全面语音生成功能,华龙证券,2026-01-27,游戏,https://pdf.dfcfw.com/pdf/H3_AP202601271818459061_1.pdf?1769519100000.pdf
